uid,name,risk_threshold,repair_time,use_duration,initial_duration,next_duration,repair_skill,json_law,machine_id,phm_module_id
dev:8c93818373fa4b9abe0d208ea560ca66,Dv1,0.01,1.0,707,612,717,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:5862b809656644f7b8fa6f4b4b579bfd,phm:76d19db6fa884178b14e51fc876d7b74
dev:8c98fbbd85c141febc5d06fcf2d4e3be,Dv7,0.01,1.0,4232,4132,4242,R7,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:61d6766cb1474d5c86378a0e57dddf5e,phm:795ccd9a1ba446ada0b2f9d33e7d796c
dev:8ca078f666ff44f39febec61b915323c,Dv6,0.01,1.0,5696,5516,5726,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:bcddf11614564882adae232590cc39e9,phm:23afc2f6d74049bea9f30bf81a2a26b6
dev:8caa94472a3040a68afb23a8d210973e,Dv8,0.01,1.0,4596,4496,4606,R8,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:b655efe5b6d34f76874efd6cbaf3e090,phm:50d88c2354d34a9ba752518bc39df204
dev:8cab6915585f4eaba57bd6247b589daa,Dv1,0.01,1.0,5692,5592,5702,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:3fd3bc897cca4ce5895f386a89b9530c,phm:c3466c63f45d415c841391d9ac30efca
dev:8cb67ec2a31e4250adf2cc71d2ed1987,Dv10,0.01,1.0,0,1572,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:87021e40dd054a64abb6696f567f15fd,phm:f761601c4e50462e8e3459d5e6bb3d7c
dev:8cbaa8f2e5ef4fcd9fe9194c906b3944,Dv11,0.01,1.0,2147,2052,2157,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:e7476daa9c7d4f07823376f999f1cad3,phm:9bb16eca549c49e088a714ed32e4fc8e
dev:8cce9fed22be409b89be33f2e24a8092,Dv9,0.01,1.0,5048,4948,5058,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:05808522638645039815f2e25e362641,phm:dc0e666ea08345cfa34da46b27f91fdf
dev:8cde28275d844929a7f810b8ec50e1d4,Dv8,0.01,1.0,2146,2056,2156,R8,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:25c354f02a074b589dd1cecf82fac21b,phm:5c886be58537476fb36cb109356d0839
dev:8cea8477ee5e49b78d4ce53d6a6b4cdf,Dv1,0.01,1.0,2736,2636,2746,R1,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:daa6f415350546c8ba15c97a3dad6003,phm:61ecaefab5aa48988d44d55630d7d4c2
dev:8cf001249fbd49c2b4dfef54d81f1f4b,Dv2,0.01,1.0,0,41216,100,R2,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:4f4f4a4eda1e4cfb9da8ef1d55cd7de6,phm:aab88098451e4dd896f31b8eeac586e9
dev:8cf177d84e3744bca9a565f71463c7ad,Dv4,0.01,1.0,3358,3268,3368,R4,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:ea0bb5a180444e6c995a2db4cdf89f6f,phm:408ce86f10e54404ae7303744e235a91
dev:8d03f2b640cf48debe5fbbf20693c038,Dv11,0.01,1.0,2462,2372,2472,R11,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:8518a97168df4d2285908258d292f0db,phm:d4adffdd77db4b60807c41e0a55b1573
dev:8d09efc7ab3d4b5d976406ad47fcc397,Dv9,0.01,1.0,3500,3400,3510,R9,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:4eb23b3fc0be4f098c166b95bdd53df8,phm:ef74452e2a844f09b01255f6610d4c36
dev:8d172015cb5a42118c16fe538365c166,Dv6,0.01,1.0,4144,4004,4184,R6,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:4261ca85ca5b490f9796ca9abc14a415,phm:cf5ba3342ee14b4f8b58f1372b15daa4
dev:8d28027453894905b1f026a8b8685c62,Dv10,0.01,1.0,0,2740,100,R10,"{""name"": ""norm"", ""params"": {""loc"": 336, ""scale"": 120}}",ma:54bd704f6a8a47299be75ae79946f48e,phm:534f8646c761482997d8cf8a768c99d5
dev:8d32f3bd10394a108222a295fc560971,Dv15,0.01,1.0,2514,2424,2524,R15,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:15a250c96a8e481dac58bb739cf69159,phm:412b1c09b3604d96ac101e87bb61528d
dev:8d376d4b5b2a40d69c9e76266296385b,Dv13,0.01,1.0,5079,4984,5089,R13,"{""name"": ""norm"", ""params"": {""loc"": 8760, ""scale"": 240}}",ma:a321ff49f1a8412c9ad1f294b13fe1ea,phm:dfa34b3b15f14a4c8d4fc6cab58a5831
